VCD info: dumpfile combinational_karatsuba.vcd opened for output.
X = 13604, Y = 24193, Z =  329121572, trueprod:  329121572
X = 25079, Y =  1897, Z =   47574863, trueprod:   47574863
X = 47796, Y = 36232, Z = 1731744672, trueprod: 1731744672
X = 55592, Y =  1069, Z =   59427848, trueprod:   59427848
X = 12487, Y = 39982, Z =  499255234, trueprod:  499255234
X = 58376, Y = 17692, Z = 1032788192, trueprod: 1032788192
X = 42749, Y =  1833, Z =   78358917, trueprod:   78358917
X = 36892, Y = 26502, Z =  977711784, trueprod:  977711784
X =  2266, Y = 50749, Z =  114997234, trueprod:  114997234
X = 42854, Y = 50288, Z = 2155041952, trueprod: 2155041952
X =  1139, Y = 39354, Z =   44824206, trueprod:   44824206
X = 45918, Y = 31226, Z = 1433835468, trueprod: 1433835468
X =  1493, Y = 63002, Z =   94061986, trueprod:   94061986
X =   185, Y = 24887, Z =    4604095, trueprod:    4604095
X = 14230, Y =  8640, Z =  122947200, trueprod:  122947200
X = 40742, Y =  6838, Z =  278593796, trueprod:  278593796
X = 33661, Y =  4060, Z =  136663660, trueprod:  136663660
X = 22406, Y = 65400, Z = 1465352400, trueprod: 1465352400
X = 39806, Y = 32987, Z = 1313080522, trueprod: 1313080522
X = 46799, Y = 11129, Z =  520826071, trueprod:  520826071
X = 58618, Y = 61025, Z = 3577163450, trueprod: 3577163450
X =  2327, Y = 30881, Z =   71860087, trueprod:   71860087
